MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Actitis-macularius,60.0,0.0,0.0,1.0,1.0,1.0
Adelomyia-melanogenys,63.0,0.0,0.0,1.0,1.0,1.0
Aeronautes-montivagus,129.0,12.0,9.0,0.9348,0.9149,0.9247
Agamia-agami,36.0,0.0,9.0,0.8,1.0,0.8889
Aglaiocercus-kingii,30.0,0.0,0.0,1.0,1.0,1.0
Akletos-goeldii,57.0,3.0,12.0,0.8261,0.95,0.8837
Akletos-melanoceps,189.0,6.0,15.0,0.9265,0.9692,0.9474
Amaurolimnas-concolor,60.0,0.0,0.0,1.0,1.0,1.0
Amazona-aestiva,36.0,0.0,0.0,1.0,1.0,1.0
Amazona-amazonica,57.0,3.0,0.0,1.0,0.95,0.9744
Amazona-mercenarius,36.0,5.173174603174603,0.0,1.0,0.8744,0.933
Amazona-ochrocephala,111.0,0.0,0.0,1.0,1.0,1.0
Amazonetta-brasiliensis,21.0,0.0,0.0,1.0,1.0,1.0
Amblycercus-holosericeus,129.0,0.0,0.0,1.0,1.0,1.0
Ammodramus-humeralis,39.0,3.0,3.0,0.9286,0.9286,0.9286
Ampelioides-tschudii,33.0,0.0,15.0,0.6875,1.0,0.8148
Ampelion-rubrocristatus,9.0,0.0,0.0,1.0,1.0,1.0
Anabacerthia-ruficaudata,39.0,0.0,0.0,1.0,1.0,1.0
Anabacerthia-striaticollis,96.0,0.0,3.0,0.9697,1.0,0.9846
Andigena-hypoglauca,105.0,0.0,0.0,1.0,1.0,1.0
Anhima-cornuta,66.0,0.0,12.0,0.8462,1.0,0.9167
Anhinga-anhinga,54.0,0.0,3.0,0.9474,1.0,0.973
Antrostomus-sericocaudatus,105.0,0.0,6.0,0.9459,1.0,0.9722
Ara-ararauna,72.0,0.0,0.0,1.0,1.0,1.0
Ara-chloropterus,75.0,3.0,33.0,0.6944,0.9615,0.8065
Ara-macao,141.0,0.0,3.0,0.9792,1.0,0.9895
Ara-militaris,84.0,3.0,0.0,1.0,0.9655,0.9825
Aramides-cajaneus,42.0,0.0,45.0,0.4828,1.0,0.6512
Ardea-alba,27.0,3.0,3.0,0.9,0.9,0.9
Ardea-cocoi,12.0,0.0,3.0,0.8,1.0,0.8889
Arenaria-interpres,27.0,0.0,0.0,1.0,1.0,1.0
Arremon-brunneinucha,87.0,0.0,0.0,1.0,1.0,1.0
Arremon-castaneiceps,120.0,0.0,3.0,0.9756,1.0,0.9877
Arremon-taciturnus,51.0,9.0,0.0,1.0,0.85,0.9189
Arundinicola-leucocephala,48.0,3.0,0.0,1.0,0.9412,0.9697
Asthenes-urubambensis,84.0,0.0,9.0,0.9032,1.0,0.9492
Athene-cunicularia,27.0,0.0,3.0,0.9,1.0,0.9474
Atticora-fasciata,96.0,0.0,0.0,1.0,1.0,1.0
Attila-bolivianus,135.0,3.0,6.0,0.9574,0.9783,0.9677
Attila-cinnamomeus,201.0,0.0,0.0,1.0,1.0,1.0
Aulacorhynchus-derbianus,60.0,0.0,6.0,0.9091,1.0,0.9524
Aulacorhynchus-prasinus,48.0,0.0,3.0,0.9412,1.0,0.9697
Automolus-subulatus,90.0,6.0,3.0,0.9677,0.9375,0.9524
Bartramia-longicauda,30.0,0.0,0.0,1.0,1.0,1.0
Baryphthengus-martii,153.0,6.0,6.0,0.9623,0.9623,0.9623
Bolborhynchus-lineola,33.0,0.0,0.0,1.0,1.0,1.0
Bolborhynchus-orbygnesius,111.0,0.0,0.0,1.0,1.0,1.0
Brotogeris-cyanoptera,24.0,0.0,0.0,1.0,1.0,1.0
Bubulcus-ibis,27.0,0.0,0.0,1.0,1.0,1.0
Bucco-macrodactylus,105.0,6.0,0.0,1.0,0.9459,0.9722
Bucco-tamatia,108.0,0.0,9.0,0.9231,1.0,0.96
Busarellus-nigricollis,84.0,0.0,15.0,0.8485,1.0,0.918
Buteo-albigula,105.0,0.0,3.0,0.9722,1.0,0.9859
Buteo-albonotatus,48.0,12.0,6.0,0.8889,0.8,0.8421
Buteo-brachyurus,78.0,0.0,3.0,0.963,1.0,0.9811
Buteo-nitidus,54.0,0.0,27.0,0.6667,1.0,0.8
Buteo-platypterus,57.0,0.0,30.0,0.6552,1.0,0.7917
Buteo-swainsoni,51.0,0.0,3.0,0.9444,1.0,0.9714
Buteogallus-meridionalis,18.0,0.0,18.0,0.5,1.0,0.6667
Buteogallus-schistaceus,63.0,0.0,18.0,0.7778,1.0,0.875
Buteogallus-solitarius,39.0,15.0,0.0,1.0,0.7222,0.8387
Buteogallus-urubitinga,48.0,0.0,9.0,0.8421,1.0,0.9143
Butorides-striata,27.0,0.0,6.0,0.8182,1.0,0.9
Cacicus-cela,78.0,0.0,3.0,0.963,1.0,0.9811
Cacicus-chrysonotus,159.0,0.0,3.0,0.9815,1.0,0.9907
Cacicus-solitarius,30.0,0.0,0.0,1.0,1.0,1.0
Calidris-alba,27.0,3.0,0.0,1.0,0.9,0.9474
Calidris-bairdii,141.0,0.0,12.0,0.9216,1.0,0.9592
Calidris-himantopus,165.0,3.0,3.0,0.9821,0.9821,0.9821
Calidris-melanotos,30.0,0.0,9.0,0.7692,1.0,0.8696
Calidris-pusilla,48.0,0.0,30.0,0.6154,1.0,0.7619
Calidris-subruficollis,18.0,3.0,0.0,1.0,0.8571,0.9231
Calliphlox-amethystina,15.0,0.0,0.0,1.0,1.0,1.0
Campephilus-melanoleucos,123.0,0.0,0.0,1.0,1.0,1.0
Campephilus-rubricollis,60.0,0.0,30.0,0.6667,1.0,0.8
Campylopterus-largipennis,33.0,0.0,0.0,1.0,1.0,1.0
Campylorhamphus-trochilirostris,66.0,3.0,9.0,0.88,0.9565,0.9167
Campylorhynchus-turdinus,24.0,0.0,0.0,1.0,1.0,1.0
Cantorchilus-leucotis,75.0,3.0,3.0,0.9615,0.9615,0.9615
Capito-auratus,177.0,0.0,3.0,0.9833,1.0,0.9916
Caracara-plancus,78.0,3.0,3.0,0.963,0.963,0.963
Cardellina-canadensis,75.0,0.0,0.0,1.0,1.0,1.0
Casiornis-rufus,27.0,0.0,9.0,0.75,1.0,0.8571
Catamblyrhynchus-diadema,114.0,0.0,0.0,1.0,1.0,1.0
Catamenia-homochroa,228.0,3.0,0.0,1.0,0.987,0.9935
Catamenia-inornata,36.0,3.0,0.0,1.0,0.9231,0.96
Catharus-fuscater,120.0,0.0,0.0,1.0,1.0,1.0
Catharus-fuscescens,168.0,3.0,0.0,1.0,0.9825,0.9912
Catharus-minimus,147.0,3.0,0.0,1.0,0.98,0.9899
Catharus-ustulatus,36.0,0.0,0.0,1.0,1.0,1.0
Celeus-elegans,15.0,0.0,3.0,0.8333,1.0,0.9091
Celeus-flavus,60.0,0.0,12.0,0.8333,1.0,0.9091
Celeus-torquatus,51.0,12.0,30.0,0.6296,0.8095,0.7083
Ceratopipra-chloromeros,33.0,0.0,6.0,0.8462,1.0,0.9167
Ceratopipra-rubrocapilla,69.0,3.0,3.0,0.9583,0.9583,0.9583
Cercomacra-manu,129.0,3.0,30.0,0.8113,0.9773,0.8866
Cercomacroides-fuscicauda,51.0,0.0,0.0,1.0,1.0,1.0
Cercomacroides-nigrescens,57.0,0.0,15.0,0.7917,1.0,0.8837
Cercomacroides-serva,126.0,6.0,0.0,1.0,0.9545,0.9767
Certhiaxis-cinnamomeus,66.0,0.0,3.0,0.9565,1.0,0.9778
Chaetura-brachyura,69.0,0.0,0.0,1.0,1.0,1.0
Chaetura-cinereiventris,63.0,0.0,0.0,1.0,1.0,1.0
Chaetura-pelagica,111.0,84.0,0.0,1.0,0.5692,0.7255
Chaetura-viridipennis,3.0,0.0,0.0,1.0,1.0,1.0
Chamaepetes-goudotii,126.0,0.0,15.0,0.8936,1.0,0.9438
Chamaeza-campanisona,72.0,0.0,0.0,1.0,1.0,1.0
Chamaeza-nobilis,45.0,0.0,3.0,0.9375,1.0,0.9677
Charadrius-collaris,48.0,3.0,0.0,1.0,0.9412,0.9697
Chelidoptera-tenebrosa,45.0,0.0,0.0,1.0,1.0,1.0
Chiroxiphia-boliviana,90.0,3.0,18.0,0.8333,0.9677,0.8955
Chloroceryle-aenea,69.0,0.0,15.0,0.8214,1.0,0.902
Chloroceryle-amazona,69.0,0.0,3.0,0.9583,1.0,0.9787
Chloroceryle-americana,48.0,0.0,9.0,0.8421,1.0,0.9143
Chlorochrysa-calliparaea,54.0,0.0,0.0,1.0,1.0,1.0
Chlorophanes-spiza,66.0,0.0,0.0,1.0,1.0,1.0
Chloropipo-unicolor,51.0,3.0,3.0,0.9444,0.9444,0.9444
Chlorospingus-canigularis,105.0,12.0,0.0,1.0,0.8974,0.9459
Chlorospingus-flavopectus,141.0,3.0,0.0,1.0,0.9792,0.9895
Chlorothraupis-carmioli,33.0,3.0,0.0,1.0,0.9167,0.9565
Chondrohierax-uncinatus,27.0,0.0,0.0,1.0,1.0,1.0
Chordeiles-minor,39.0,0.0,0.0,1.0,1.0,1.0
Chordeiles-rupestris,45.0,0.0,0.0,1.0,1.0,1.0
Chroicocephalus-serranus,90.0,0.0,0.0,1.0,1.0,1.0
Chrysuronia-oenone,63.0,0.0,3.0,0.9545,1.0,0.9767
Cinclodes-albiventris,36.0,0.0,3.0,0.9231,1.0,0.96
Cinnycerthia-fulva,102.0,0.0,3.0,0.9714,1.0,0.9855
Cissopis-leverianus,48.0,3.0,0.0,1.0,0.9412,0.9697
Clibanornis-rubiginosus,195.0,9.0,0.0,1.0,0.9559,0.9774
Cnipodectes-superrufus,81.0,12.0,30.0,0.7297,0.871,0.7941
Coccyzus-americanus,21.0,0.0,0.0,1.0,1.0,1.0
Coccyzus-erythropthalmus,153.0,0.0,0.0,1.0,1.0,1.0
Cochlearius-cochlearius,48.0,3.0,3.0,0.9412,0.9412,0.9412
Coeligena-coeligena,84.0,0.0,0.0,1.0,1.0,1.0
Coeligena-violifer,27.0,0.0,0.0,1.0,1.0,1.0
Coereba-flaveola,72.0,3.0,0.0,1.0,0.96,0.9796
Colaptes-punctigula,9.0,0.0,0.0,1.0,1.0,1.0
Colaptes-rivolii,51.0,0.0,0.0,1.0,1.0,1.0
Colaptes-rubiginosus,78.0,0.0,3.0,0.963,1.0,0.9811
Colaptes-rupicola,27.0,0.0,0.0,1.0,1.0,1.0
Colibri-delphinae,252.0,6.0,3.0,0.9882,0.9767,0.9825
Colonia-colonus,27.0,3.0,0.0,1.0,0.9,0.9474
Columbina-picui,45.0,0.0,9.0,0.8333,1.0,0.9091
Conirostrum-ferrugineiventre,36.0,12.0,3.0,0.9231,0.75,0.8276
Conopias-trivirgatus,45.0,6.0,0.0,1.0,0.8824,0.9375
Conopophaga-ardesiaca,39.0,0.0,0.0,1.0,1.0,1.0
Conopophaga-peruviana,84.0,9.0,0.0,1.0,0.9032,0.9492
Conothraupis-speculigera,12.0,0.0,0.0,1.0,1.0,1.0
Contopus-cinereus,30.0,0.0,0.0,1.0,1.0,1.0
Contopus-cooperi,57.0,0.0,0.0,1.0,1.0,1.0
Contopus-nigrescens,123.0,0.0,3.0,0.9762,1.0,0.988
Contopus-sordidulus,30.0,0.0,0.0,1.0,1.0,1.0
Contopus-virens,144.0,0.0,3.0,0.9796,1.0,0.9897
Coryphaspiza-melanotis,15.0,0.0,0.0,1.0,1.0,1.0
Cotinga-maynana,12.0,0.0,3.0,0.8,1.0,0.8889
Cranioleuca-curtata,69.0,0.0,3.0,0.9583,1.0,0.9787
Cranioleuca-gutturata,159.0,0.0,21.0,0.8833,1.0,0.9381
Cranioleuca-marcapatae,159.0,0.0,0.0,1.0,1.0,1.0
Crax-globulosa,24.0,0.0,0.0,1.0,1.0,1.0
Crotophaga-major,15.0,0.0,81.0,0.1562,1.0,0.2703
Crypturellus-cinereus,162.0,3.0,0.0,1.0,0.9818,0.9908
Crypturellus-obsoletus,93.0,3.0,3.0,0.9688,0.9688,0.9688
Crypturellus-parvirostris,72.0,0.0,0.0,1.0,1.0,1.0
Crypturellus-soui,114.0,3.0,3.0,0.9744,0.9744,0.9744
Crypturellus-strigulosus,54.0,9.0,9.0,0.8571,0.8571,0.8571
Cyanerpes-cyaneus,21.0,0.0,0.0,1.0,1.0,1.0
Cyanocorax-cyanomelas,96.0,3.0,0.0,1.0,0.9697,0.9846
Cyanocorax-violaceus,117.0,0.0,9.0,0.9286,1.0,0.963
Cyanocorax-yncas,54.0,0.0,21.0,0.72,1.0,0.8372
Cyanolyca-viridicyanus,12.0,0.0,0.0,1.0,1.0,1.0
Cyclarhis-gujanensis,102.0,6.0,0.0,1.0,0.9444,0.9714
Cymbilaimus-lineatus,132.0,3.0,6.0,0.9565,0.9778,0.967
Cymbilaimus-sanctaemariae,111.0,0.0,6.0,0.9487,1.0,0.9737
Cyphorhinus-arada,33.0,6.0,6.0,0.8462,0.8462,0.8462
Dacnis-cayana,78.0,0.0,0.0,1.0,1.0,1.0
Dacnis-lineata,66.0,0.0,3.0,0.9565,1.0,0.9778
Daptrius-ater,147.0,3.0,12.0,0.9245,0.98,0.9515
Deconychura-longicauda,72.0,0.0,3.0,0.96,1.0,0.9796
Dendrocincla-fuliginosa,36.0,3.0,6.0,0.8571,0.9231,0.8889
Dendrocincla-merula,24.0,0.0,3.0,0.8889,1.0,0.9412
Dendrocolaptes-certhia,132.0,12.0,18.0,0.88,0.9167,0.898
Dendrocolaptes-picumnus,84.0,0.0,0.0,1.0,1.0,1.0
Dendroplex-picus,33.0,0.0,0.0,1.0,1.0,1.0
Dichrozona-cincta,72.0,6.0,3.0,0.96,0.9231,0.9412
Diglossa-brunneiventris,66.0,0.0,0.0,1.0,1.0,1.0
Diglossa-caerulescens,12.0,6.0,0.0,1.0,0.6667,0.8
Diglossa-glauca,78.0,0.0,0.0,1.0,1.0,1.0
Diopsittaca-nobilis,78.0,0.0,3.0,0.963,1.0,0.9811
Dolichonyx-oryzivorus,18.0,0.0,0.0,1.0,1.0,1.0
Donacobius-atricapilla,147.0,0.0,0.0,1.0,1.0,1.0
Doryfera-johannae,75.0,12.0,3.0,0.9615,0.8621,0.9091
Dromococcyx-phasianellus,36.0,0.0,0.0,1.0,1.0,1.0
Drymophila-devillei,102.0,0.0,0.0,1.0,1.0,1.0
Dryocopus-lineatus,105.0,3.0,9.0,0.9211,0.9722,0.9459
Dubusia-taeniata,33.0,0.0,0.0,1.0,1.0,1.0
Egretta-caerulea,39.0,0.0,12.0,0.7647,1.0,0.8667
Egretta-thula,12.0,0.0,0.0,1.0,1.0,1.0
Elaenia-albiceps,117.0,3.0,0.0,1.0,0.975,0.9873
Elaenia-chiriquensis,66.0,9.0,0.0,1.0,0.88,0.9362
Elaenia-cristata,12.0,0.0,3.0,0.8,1.0,0.8889
Elaenia-gigas,3.0,0.0,0.0,1.0,1.0,1.0
Elaenia-pallatangae,21.0,0.0,0.0,1.0,1.0,1.0
Elaenia-parvirostris,42.0,0.0,12.0,0.7778,1.0,0.875
Elaenia-spectabilis,21.0,0.0,0.0,1.0,1.0,1.0
Elanus-leucurus,138.0,3.0,3.0,0.9787,0.9787,0.9787
Electron-platyrhynchum,39.0,0.0,3.0,0.9286,1.0,0.963
Emberizoides-herbicola,84.0,0.0,0.0,1.0,1.0,1.0
Empidonax-alnorum,15.0,0.0,0.0,1.0,1.0,1.0
Empidonomus-varius,36.0,0.0,3.0,0.9231,1.0,0.96
Entomodestes-leucotis,30.0,3.0,9.0,0.7692,0.9091,0.8333
Epinecrophylla-amazonica,63.0,6.0,3.0,0.9545,0.913,0.9333
Epinecrophylla-erythrura,60.0,3.0,0.0,1.0,0.9524,0.9756
Epinecrophylla-haematonota,48.0,9.0,0.0,1.0,0.8421,0.9143
Epinecrophylla-ornata,66.0,3.0,3.0,0.9565,0.9565,0.9565
Eubucco-richardsoni,12.0,0.0,3.0,0.8,1.0,0.8889
Eubucco-tucinkae,27.0,0.0,3.0,0.9,1.0,0.9474
Euchrepomis-humeralis,87.0,6.0,12.0,0.8788,0.9355,0.9062
Eucometis-penicillata,24.0,0.0,6.0,0.8,1.0,0.8889
Eupetomena-macroura,42.0,0.0,0.0,1.0,1.0,1.0
Euphonia-chlorotica,72.0,3.0,0.0,1.0,0.96,0.9796
Euphonia-chrysopasta,75.0,6.0,18.0,0.8065,0.9259,0.8621
Euphonia-cyanocephala,39.0,0.0,0.0,1.0,1.0,1.0
Euphonia-laniirostris,99.0,0.0,0.0,1.0,1.0,1.0
Euphonia-mesochrysa,60.0,0.0,0.0,1.0,1.0,1.0
Euphonia-rufiventris,51.0,0.0,9.0,0.85,1.0,0.9189
Euphonia-xanthogaster,12.0,0.0,0.0,1.0,1.0,1.0
Eupsittula-aurea,51.0,0.0,0.0,1.0,1.0,1.0
Euscarthmus-meloryphus,36.0,0.0,3.0,0.9231,1.0,0.96
Falco-deiroleucus,42.0,6.0,0.0,1.0,0.875,0.9333
Falco-femoralis,66.0,0.0,51.0,0.5641,1.0,0.7213
Falco-rufigularis,48.0,0.0,0.0,1.0,1.0,1.0
Falco-sparverius,105.0,6.0,0.0,1.0,0.9459,0.9722
Florisuga-mellivora,6.0,0.0,0.0,1.0,1.0,1.0
Fluvicola-albiventer,33.0,3.0,9.0,0.7857,0.9167,0.8462
Formicarius-analis,6.0,0.0,3.0,0.6667,1.0,0.8
Formicarius-colma,39.0,0.0,3.0,0.9286,1.0,0.963
Formicarius-rufifrons,45.0,0.0,18.0,0.7143,1.0,0.8333
Formicarius-rufipectus,12.0,0.0,0.0,1.0,1.0,1.0
Formicivora-rufa,45.0,0.0,0.0,1.0,1.0,1.0
Forpus-modestus,18.0,0.0,0.0,1.0,1.0,1.0
Forpus-xanthopterygius,120.0,0.0,9.0,0.9302,1.0,0.9639
Furnarius-leucopus,39.0,0.0,0.0,1.0,1.0,1.0
Galbalcyrhynchus-purusianus,48.0,27.0,0.0,1.0,0.64,0.7805
Galbula-cyanicollis,21.0,0.0,0.0,1.0,1.0,1.0
Galbula-dea,45.0,0.0,0.0,1.0,1.0,1.0
Galbula-leucogastra,60.0,0.0,3.0,0.9524,1.0,0.9756
Gampsonyx-swainsonii,21.0,0.0,0.0,1.0,1.0,1.0
Geothlypis-aequinoctialis,240.0,0.0,0.0,1.0,1.0,1.0
Geotrygon-saphirina,96.0,0.0,0.0,1.0,1.0,1.0
Geranospiza-caerulescens,39.0,0.0,3.0,0.9286,1.0,0.963
Glaucidium-brasilianum,36.0,0.0,0.0,1.0,1.0,1.0
Glaucis-hirsutus,15.0,0.0,0.0,1.0,1.0,1.0
Glyphorynchus-spirurus,36.0,0.0,0.0,1.0,1.0,1.0
Gnorimopsar-chopi,21.0,3.0,3.0,0.875,0.875,0.875
Grallaria-eludens,84.0,36.0,9.0,0.9032,0.7,0.7887
Grallaria-erythroleuca,51.0,0.0,3.0,0.9444,1.0,0.9714
Grallaricula-leymebambae,81.0,0.0,0.0,1.0,1.0,1.0
Hafferia-fortis,132.0,3.0,6.0,0.9565,0.9778,0.967
Haplophaedia-assimilis,18.0,0.0,0.0,1.0,1.0,1.0
Haplospiza-rustica,204.0,6.0,6.0,0.9714,0.9714,0.9714
Harpagus-bidentatus,39.0,3.0,0.0,1.0,0.9286,0.963
Helicolestes-hamatus,132.0,0.0,21.0,0.8627,1.0,0.9263
Heliodoxa-aurescens,81.0,0.0,0.0,1.0,1.0,1.0
Heliodoxa-leadbeateri,78.0,9.0,0.0,1.0,0.8966,0.9455
Heliodoxa-schreibersii,33.0,0.0,0.0,1.0,1.0,1.0
Heliomaster-longirostris,45.0,0.0,0.0,1.0,1.0,1.0
Heliornis-fulica,15.0,3.0,3.0,0.8333,0.8333,0.8333
Heliothryx-auritus,12.0,3.0,3.0,0.8,0.8,0.8
Hemithraupis-flavicollis,12.0,0.0,6.0,0.6667,1.0,0.8
Hemithraupis-guira,21.0,3.0,0.0,1.0,0.875,0.9333
Hemitriccus-cohnhafti,132.0,0.0,6.0,0.9565,1.0,0.9778
Hemitriccus-griseipectus,234.0,0.0,3.0,0.9873,1.0,0.9936
Hemitriccus-rufigularis,165.0,3.0,6.0,0.9649,0.9821,0.9735
Henicorhina-leucophrys,42.0,0.0,3.0,0.9333,1.0,0.9655
Herpetotheres-cachinnans,51.0,0.0,0.0,1.0,1.0,1.0
Herpsilochmus-axillaris,54.0,3.0,0.0,1.0,0.9474,0.973
Herpsilochmus-rufimarginatus,15.0,0.0,0.0,1.0,1.0,1.0
Himantopus-mexicanus,174.0,0.0,0.0,1.0,1.0,1.0
Hirundinea-ferruginea,81.0,0.0,0.0,1.0,1.0,1.0
Hydropsalis-maculicaudus,54.0,0.0,0.0,1.0,1.0,1.0
Hylexetastes-stresemanni,87.0,0.0,39.0,0.6905,1.0,0.8169
Hylophilus-thoracicus,39.0,6.0,0.0,1.0,0.8667,0.9286
Hylophylax-naevius,90.0,0.0,0.0,1.0,1.0,1.0
Hypocnemis-peruviana,33.0,0.0,18.0,0.6471,1.0,0.7857
Hypocnemis-subflava,72.0,0.0,9.0,0.8889,1.0,0.9412
Icterus-croconotus,60.0,0.0,0.0,1.0,1.0,1.0
Ictinia-mississippiensis,24.0,3.0,0.0,1.0,0.8889,0.9412
Ictinia-plumbea,21.0,0.0,9.0,0.7,1.0,0.8235
Inezia-inornata,21.0,0.0,0.0,1.0,1.0,1.0
Iodopleura-isabellae,105.0,9.0,3.0,0.9722,0.9211,0.9459
Iridophanes-pulcherrimus,12.0,6.0,3.0,0.8,0.6667,0.7273
Iridosornis-analis,129.0,9.0,15.0,0.8958,0.9348,0.9149
Isleria-hauxwelli,39.0,0.0,0.0,1.0,1.0,1.0
Ixobrychus-exilis,12.0,3.0,3.0,0.8,0.8,0.8
Ixobrychus-involucris,12.0,0.0,0.0,1.0,1.0,1.0
Jabiru-mycteria,42.0,6.0,3.0,0.9333,0.875,0.9032
Jacamerops-aureus,36.0,3.0,3.0,0.9231,0.9231,0.9231
Klais-guimeti,27.0,3.0,0.0,1.0,0.9,0.9474
Knipolegus-aterrimus,6.0,0.0,0.0,1.0,1.0,1.0
Knipolegus-hudsoni,30.0,0.0,0.0,1.0,1.0,1.0
Lamprospiza-melanoleuca,126.0,0.0,24.0,0.84,1.0,0.913
Laniisoma-elegans,72.0,0.0,42.0,0.6316,1.0,0.7742
Laniocera-hypopyrra,45.0,0.0,6.0,0.8824,1.0,0.9375
Laterallus-exilis,9.0,0.0,0.0,1.0,1.0,1.0
Laterallus-melanophaius,33.0,0.0,0.0,1.0,1.0,1.0
Legatus-leucophaius,123.0,0.0,0.0,1.0,1.0,1.0
Lepidocolaptes-fatimalimae,3.0,0.0,0.0,1.0,1.0,1.0
Lepidothrix-coronata,156.0,3.0,9.0,0.9455,0.9811,0.963
Leptodon-cayanensis,57.0,0.0,0.0,1.0,1.0,1.0
Leptopogon-amaurocephalus,6.0,0.0,0.0,1.0,1.0,1.0
Leptopogon-superciliaris,18.0,3.0,0.0,1.0,0.8571,0.9231
Leptopogon-taczanowskii,87.0,0.0,0.0,1.0,1.0,1.0
Leptosittaca-branickii,21.0,0.0,0.0,1.0,1.0,1.0
Leptotila-rufaxilla,78.0,3.0,0.0,1.0,0.963,0.9811
Leptotila-verreauxi,30.0,3.0,6.0,0.8333,0.9091,0.8696
Leucopternis-melanops,48.0,0.0,3.0,0.9412,1.0,0.9697
Liosceles-thoracicus,93.0,0.0,216.0,0.301,1.0,0.4627
Lochmias-nematura,132.0,6.0,6.0,0.9565,0.9565,0.9565
Lophostrix-cristata,96.0,6.0,9.0,0.9143,0.9412,0.9275
